parameter_id,category,description,value,unit,year,use_as,source_name,source_url,confidence,notes
CP-POP-004b,CP-POP,Uninsured rate (under age 65),9.8,percent,2024,benchmark,KFF analysis of Census ACS,https://www.kff.org/uninsured/key-facts-about-the-uninsured-population/,medium-high,"Rose from 9.5% in 2023 with Medicaid unwinding, and likely higher in 2025-2026 with ACA subsidy expiration. This rate is the one the 26.7M under-65 uninsured count belongs to. Not comparable with CP-POP-004a's all-ages 8.0%."
CP-FIN-001,CP-FIN,Federal Medicare spending (net),988,USD billions,2025,benchmark,CBO baseline via CRFB,https://www.crfb.org/blogs/cbo-projects-high-federal-health-program-costs,medium,"Reconcile against the CMS NHE total-Medicare figure ($1,029.8B, 2023), which is a broader accounting concept."
CP-FIN-002,CP-FIN,Federal share of Medicaid spending,614,USD billions,2023,calibration,Pew Charitable Trusts / NASBO,https://www.pew.org/en/research-and-analysis/articles/2025/06/16/the-share-of-state-budgets-spent-on-medicaid-posts-largest-annual-increase-in-20-years,high,
CP-FIN-004,CP-FIN,State-share Medicaid spending,294.1,USD billions,2023,calibration,Pew Charitable Trusts / NASBO,https://www.pew.org/en/research-and-analysis/articles/2025/06/16/the-share-of-state-budgets-spent-on-medicaid-posts-largest-annual-increase-in-20-years,medium-high,Largest single-year jump in 20 years (+17.8%); proxy for a state maintenance-of-effort contribution mechanism
CP-FIN-005,CP-FIN,ACA marketplace federal subsidies,140,USD billions,2025,benchmark,CBO baseline via CRFB,https://www.crfb.org/blogs/cbo-projects-high-federal-health-program-costs,medium,Highly policy-sensitive; enhanced premium tax credits expired 2026
CP-FIN-008,CP-FIN,VA medical care spending (discretionary),112.6,USD billions,2025,benchmark,VA FY2025 Budget in Brief,https://department.va.gov/wp-content/uploads/2024/03/fy-2025-va-budget-in-brief.pdf,medium-high,Isolate from VA total budget (~370-400B) which includes non-health benefits
CP-FIN-010,CP-FIN,Total redirectable federal health spending (Medicare+Medicaid+CHIP+ACA+FEHB+VA+DHP),2050,USD billions,2025,benchmark,DERIVED from CP-FIN-001 through CP-FIN-009,,low,"DERIVED: no external source exists, and the grade records that absence rather than the arithmetic. research/01 puts the aggregate at $2.0-2.1T. Treat components separately."
CP-FIN-011a,CP-FIN,Average employer-sponsored family premium,26993,USD/year,2025,benchmark,KFF 2025 Employer Health Benefits Survey,https://www.kff.org/health-costs/2025-employer-health-benefits-survey/,high,Employer pays ~20143 of this; worker pays ~6850
CP-FIN-015a,CP-FIN,CBO single-payer federal subsidy increase (2030 single year),1500 to 3000,USD billions,2030,trend,CBO Working Paper 2020-08,https://www.cbo.gov/publication/56811,high,Most authoritative direct comparator; range depends on plan design (payment rates cost-sharing LTSS)
CP-FIN-015b,CP-FIN,CBO total NHE change under illustrative single-payer designs (2030),-700 to 300,USD billions,2030,trend,CBO Working Paper 2020-08,https://www.cbo.gov/publication/56811,high,Total system spending could modestly DECREASE except when a large new LTSS benefit is added
CP-FIN-016a,CP-FIN,Urban Institute 10-year federal cost estimate,32000 to 34000,USD billions,2020-2029,trend,Urban Institute / Commonwealth Fund 2019,https://www.urban.org/urban-wire/dont-confuse-changes-federal-health-spending-national-health-spending,medium-high,~3.2-3.4T/yr average; converges closely with Mercatus despite opposite institutional lean
CP-FIN-016b,CP-FIN,Mercatus Center 10-year federal cost estimate,32600,USD billions,2022-2031,trend,Mercatus Center (Blahous 2018),https://www.mercatus.org/research/working-papers/costs-national-single-payer-healthcare-system,medium-high,Author-described as a lower-bound/best-case estimate
CP-FIN-017,CP-FIN,Federal government total revenue,5200,USD billions,2025,benchmark,CBO Monthly Budget Review,https://www.cbo.gov/publication/61307,high,Federal outlays ~7000B; deficit ~1800-1900B; fiscal-capacity context for financing feasibility
CP-OFF-001,CP-OFF,Broadest estimate of total US health administrative cost,1100,USD billions,2017,benchmark,Himmelstein and Woolhandler (Annals of Internal Medicine 2020 update),https://pnhp.org/news/landmark-administrative-waste-study-updated/,medium-high,Broad definition including provider-side billing costs; disputed as possibly overstating recoverable savings
CP-OFF-002,CP-OFF,Estimated national savings from eliminating private-insurance admin duplication,200 to 500,USD billions/year,2003-2018,benchmark,"Woolhandler, Campbell and Himmelstein, NEJM (2003); PERI/Friedman, Economic Analysis of Medicare for All (2018)",https://www.nejm.org/doi/full/10.1056/NEJMsa022033,medium,"Calibratable range, not a point estimate; document which cost components are included. The span is the two endpoints of the cited cluster. PERI is at peri.umass.edu/component/k2/item/1127-economic-analysis-of-medicare-for-all and is carried in research/01 as CP-FIN-013."
CP-OFF-003a,CP-OFF,CBO-scored IRA Medicare drug negotiation savings (gross) as ORIGINALLY scored,98.5,USD billions/10yr,2022-2031,trend,CBO,https://www.cbo.gov/system/files/2023-02/58850-IRA-Drug-Provs.pdf,high,"R34: high as an original score and only as an original score. CBO re-scoring in 2025 revised the projected deficit reduction downward, so this is a policy precedent showing negotiation can save at program level, not the current standing of the IRA. Net after Medicaid offset is 56.3B"
CP-OFF-003b,CP-OFF,CBO-scored full IRA drug pricing package savings as ORIGINALLY scored,237,USD billions/10yr,2022-2031,trend,CBO,https://www.cbo.gov/system/files/2023-02/58850-IRA-Drug-Provs.pdf,high,R34: same caveat as CP-OFF-003a. High as an original score; CBO re-scoring in 2025 revised it downward and this row is not the current figure. Negotiation + inflation rebates + Part D redesign combined
CP-HOSP-001,CP-HOSP,Number of U.S. hospitals,6120,count,2024,benchmark,American Hospital Association,https://www.aha.org/statistics/fast-facts-us-hospitals,high,"AHA Fast Facts is the primary count, and it is a LIVING page: as of 2026-08-27 it shows 6,100 for its 2026 edition, not this row's 6,120 for 2024. It also gives ~1,356-1,383 critical-access and ~226 academic medical centres, but those come from a third-party aggregator, vary by about 30 by definition, and are weaker than the hospital total this row carries."
CP-HOSP-002,CP-HOSP,Median hospital operating margin,4.9,percent,2024,benchmark,Kaufman Hall,https://www.kaufmanhall.com/insights/research-report/national-hospital-flash-report-september-2025-data,medium-high,"About 40% of hospitals ran a negative margin. Kaufman Hall's panel is ~1,300 hospitals, not the ~6,120 universe, so the exact percentage is weaker than the direction."
CP-HOSP-003,CP-HOSP,Rural hospitals at financial closure risk,417,count,2025,benchmark,Chartis Center for Rural Health,https://www.chartis.com/insights/2026-rural-health-state-state,medium-high,Chartis counts 206 rural hospitals closed or converted since 2010; the Sheps Center counts 197 since 2005 on a different definition. The two are not the same window.
CP-HOSP-004,CP-HOSP,Hospital outpatient facility fee markup vs Medicare,289,percent of Medicare rate,2022,benchmark,RAND Hospital Price Transparency studies,https://www.rand.org/pubs/research_reports/RRA1144-2-v2.html,medium-high,Ambulatory surgical centres mark up 170% for comparison. Some RAND releases of the same round cite 279%.
CP-HOSP-005,CP-HOSP,Annual ED visit volume and average cost,155000000 visits / 2453 avg cost,visits and USD,2022,benchmark,CDC/NCHS ED visit estimates (volume); Peterson-KFF Health System Tracker (average cost),https://www.cdc.gov/nchs/dhcs/ed-visits/index.htm,medium,"Two figures from two sources. The ~$2,453 average cost is Peterson-KFF, NOT CDC, and research/02 grades it Medium against High for the visit count. Avoidable share is disputed 25-67% and this row does not carry it."
CP-HOSP-006,CP-HOSP,US hospital administrative cost share vs peer nations,25.3,percent of hospital expenditure,2011,benchmark,Himmelstein et al Health Affairs 2014 cross-national comparison,https://www.healthaffairs.org/doi/10.1377/hlthaff.2013.1327,medium-high,Netherlands 19.8%; England 15.5%; Canada and Scotland markedly lower. 2011 data. The newer 2017 system-wide figure is 34.2% on a wider definition.
CP-CLIN-001,CP-CLIN,Active U.S. physicians,1032365,persons,2024,benchmark,AAMC / BLS workforce data,https://www.aamc.org/data-reports/report/us-physician-workforce-data-dashboard,high,"research/02 states 1,032,365 active physicians, of which 866,460 are direct patient care. It separately gives 382,700 NP-category and 162,700 PA-category clinicians, which are BLS figures from a different source and release and should not be added to this row without saying so."
CP-CLIN-002,CP-CLIN,Physician administrative burden from billing/insurance,83000,USD/physician/year,2011,benchmark,"Morra et al., Health Affairs (2011), via Commonwealth Fund",https://www.commonwealthfund.org/press-release/2011/physician-practices-us-spend-nearly-83000-annually-physician-administrative,medium,"2011 dollars, against ~$22,000/physician/year in Ontario. Undercounts current prior-authorisation and EHR burden; the AMA 2024 prior-auth survey is a different measure."
CP-UNIT-001,CP-UNIT,Retail clinic visit cost,59 to 199,USD/visit,2024,benchmark,CVS MinuteClinic / sector data,https://www.cvs.com/minuteclinic/services/price-lists,medium,"Best near-term analogue for Type A units. A published list price, so a revenue-per-visit proxy and not a validated cost structure."
CP-UNIT-002,CP-UNIT,Urgent care visit cost and margin,150 to 200 USD/visit; ~15 percent margin,USD/visit and percent,2023,benchmark,Urgent Care Association benchmarking,https://urgentcareassociation.org/wp-content/uploads/2023-Urgent-Care-Industry-White-Paper.pdf,medium,"Best near-term analogue for Type B units. UCA's current Benchmarking-Finance report is member-gated and the 2023 edition PDF research/02 cites now returns 404, so these figures reach us through secondary citations of it."
CP-EDU-001,CP-EDU,Medicare GME payment per resident,100000 to 180000,USD/resident/year,2015,benchmark,CRS IF10960; MedPAC contractor study (direct plus indirect medical education),https://www.congress.gov/crs-product/IF10960,medium,"Federal cost floor for expanding residency slots. The per-resident range is a 2013 contractor study on 2015 projected data; only the national totals ($16.2B FY2020, $21.2B FY2023) are firm."
CP-EDU-002,CP-EDU,Total US residency positions (Match),43237,positions,2025,benchmark,NRMP Main Residency Match,https://www.nrmp.org/match-data/2025/05/results-and-data-2025-main-residency-match/,high,"All-time high, +1,734 vs 2024. Excludes some military and non-Match positions, so it undercounts ACGME total slots."
CP-EDU-003,CP-EDU,Average medical school debt,223130,USD,2024,benchmark,AAMC tuition and debt data,https://www.aamc.org/data-reports/students-residents/report/physician-education-debt-and-cost-attend-medical-school,high,"Four-year cost of attendance averages $228,959."
CP-EDU-004,CP-EDU,Projected physician shortage by 2036,13500 to 86000,physicians,2036,trend,"AAMC, The Complexities of Physician Supply and Demand: Projections From 2021 to 2036",https://www.aamc.org/media/75236/download,high,"A 2036 projection, not a measured level. Range reflects scenario assumptions; psychiatry and OB-GYN are the acute bottlenecks. Psychiatry now has its own row, CP-BH-003."
CP-RX-001,CP-RX,Retail prescription drug spending,467.0,USD billions,2024,benchmark,CMS NHE,https://www.cms.gov/files/document/highlights.pdf,low,research/03 downgraded this row to Low and records that the model does not use it. Growing 7.9%/yr. The $680-730B all-in drug figure is a separate derived estimate.
CP-RX-002,CP-RX,US vs international drug price ratio (all drugs / brand-name),2.78 / 4.22,ratio,2022,benchmark,RAND Corporation international drug price comparison RRA788-3,https://www.rand.org/pubs/research_reports/RRA788-3.html,high,Gold-standard source for international reference pricing. Generics are cheaper in the U.S. than in comparators; the gap is concentrated in brands.
CP-RX-003,CP-RX,Insulin production cost vs nonprofit executed price,2.28 to 6.16 production; 30 nonprofit price,USD/vial,2018,benchmark,"Gotham, Barber and Hill, BMJ Global Health (2018) for production cost; Civica Rx (2022) for the price",https://pmc.ncbi.nlm.nih.gov/articles/PMC6157569/,high,Two vintages in one row: the $2.28-$6.16 production cost is 2018 and the $30/vial nonprofit price is Civica's 2022 announcement. Strong calibration pair for public manufacturing.
CP-RX-004,CP-RX,Generic drugs share of prescription volume vs spend,90 percent volume / 12-13 percent spend,percent,2024,benchmark,"Association for Accessible Medicines and IQVIA Institute, 2025 Generic and Biosimilar Savings Report",https://accessiblemeds.org/resources/reports/2025-savings-report/,high,"The stated source was FDA/IQVIA; research/03 traces it to AAM/IQVIA, a generics trade association. The volume/spend split is corroborated; the report's savings headline is industry-favourable and is not used here."
CP-RX-005,CP-RX,Civica Rx nonprofit manufacturing scale,140000 sq ft plant; 124.5M capex; 200M+ target annual output,mixed,2024,benchmark,"HHS ASPE, The Potential Role of the Nonprofit Pharmaceutical Manufacturer (2024)",https://aspe.hhs.gov/sites/default/files/documents/98c11253d18fc571f0b7bd3dd45fbce1/nonprofit-pharma-report.pdf,medium-high,"Best real-world analogue for the Public Medicines Corporation, and federally studied rather than self-reported."
CP-DX-001,CP-DX,Common lab test price: Medicare rate vs average billed charge,8 to 10 Medicare; 37 to 60 billed,USD,2025,benchmark,CMS Clinical Lab Fee Schedule vs billed-charge studies,https://www.cms.gov/files/document/mm13889-clinical-laboratory-fee-schedule-2025-annual-update.pdf,medium,"5-6x markup over the Medicare rate. Only the CLFS side is an official schedule; the average billed charge comes from a cost-aggregator site, not a claims database."
CP-DX-002,CP-DX,Average commercial imaging price vs Medicare,MRI 1959; CT 1438,USD,2022,benchmark,Health Care Cost Institute,https://healthcostinstitute.org/all-hcci-reports/most-spending-on-imaging-services-went-to-ct-scans-x-rays-and-ultrasounds/,medium-high,Commercial pays 2.2x-5.9x Medicare depending on modality.
CP-DX-003,CP-DX,Estimated national low-value care spending,75.7 to 101.2,USD billions/year,2019,benchmark,"Shrank, Rogstad and Parekh, Waste in the US Health Care System, JAMA (2019)",https://doi.org/10.1001/jama.2019.13978,medium,"Broader total system waste is $760-935B/yr (~25% of spend) in the same paper. jamanetwork.com refuses automated fetch, so the DOI is cited rather than the article URL; the DOI was confirmed against Crossref metadata."
CP-LTC-001,CP-LTC,Nursing home private-pay cost,111325 to 127750,USD/year,2024,benchmark,Genworth/CareScout Cost of Care Survey,https://www.carescout.com/cost-of-care,high,"Semi-private $111,325 and private room $127,750, both 2024, and not an uncertainty band. CareScout publishes MONTHLY medians: $9,277 and $10,646 for 2024, annualised here at 12x. The page carries a 2024 and a 2025 column."
CP-LTC-002,CP-LTC,Assisted living cost,70800 to 74400,USD/year,2024-2025,benchmark,Genworth/CareScout Cost of Care Survey,https://www.carescout.com/cost-of-care,high,"Not an uncertainty band: $70,800 is the 2024 median and $74,400 the 2025 median, a +5% year-over-year move. CareScout publishes monthly ($5,900 and $6,200), annualised here at 12x."
CP-LTC-003,CP-LTC,Home care hourly cost,33 to 34,USD/hour,2024,benchmark,Genworth/CareScout Cost of Care Survey,https://www.carescout.com/cost-of-care,high,"Not a band and not two years: $34/hr is a home health aide and $33/hr a homemaker/companion, both 2024 medians. The live CareScout table shows the non-medical caregiver rate at $34 for 2024 and $35 for 2025."
CP-LTC-004,CP-LTC,HCBS waiver waiting list,700000,persons,2024,benchmark,KFF Medicaid HCBS data,https://www.kff.org/medicaid/a-look-at-waiting-lists-for-medicaid-home-and-community-based-services-from-2016-to-2024/,high,Across 40 states; 73% of the list is people with I/DD. Relevant to home-first substitution modelling.
CP-BH-001,CP-BH,Total mental health and SUD treatment spending,139.6,USD billions,2021,benchmark,SAMHSA / Health Affairs national spending estimate,https://www.healthaffairs.org/doi/10.1377/hlthaff.2025.01351,high,"R13: 2021 against a 2023 calibration year. research/04's CP-BH-015 supplies the trend for closing that gap: 3.27%/yr real per-capita (2000-2021). Trending 2021->2023 at 3.27% real per-capita gives roughly $150B before inflation; the trend is recorded rather than applied, because the row is a measured 2021 level and applying it here would hide that."
CP-BH-002,CP-BH,Unmet mental health and SUD treatment need,27100000 untreated AMI; 41100000 untreated SUD,persons,2023,benchmark,SAMHSA National Survey on Drug Use and Health,https://www.samhsa.gov/data/report/2023-nsduh-annual-national-report,high,27.1M of 58.7M adults with AMI untreated; 41.1M of 48.5M people aged 12+ with SUD untreated. A 2024 NSDUH release also exists and would move both numbers.
CP-BH-003,CP-BH,Projected adult psychiatrist shortage by 2038,36780 to 86430,physicians,2038,trend,HRSA Bureau of Health Workforce behavioural health workforce projections,https://bhw.hrsa.gov/sites/default/files/bureau-health-workforce/data-research/Behavioral-Health-Workforce-Brief-2025.pdf,medium-high,"Supersedes the 18,000-21,000 by 2030 projection. Status-quo to elevated-need scenarios; a blended 43,660 is often quoted. research/02 attributes these to a January 2026 release and research/04 to the 2025 brief, so the release is unsettled and the grade reflects that. The 122 million in shortage areas is CP-BH-010 in research/04 (HRSA HPSA dashboard, October 2024 designation list), not this row."
CP-DVH-001,CP-DVH,Total dental services spending,189.2,USD billions,2024,benchmark,"ADA Health Policy Institute, National Dental Expenditures 2024, on CMS NHE data",https://www.ada.org/resources/research/health-policy-institute/dental-care-market/national-dental-expenses,high,"3.6% of NHE in 2024, +6.6% year over year. The 2023 figure ($173.8B) is CP-TOT-004e and is a different vintage; do not sum the two."
CP-DVH-002,CP-DVH,Average hearing aid pricing,4672,USD/pair average (range 2000-8000),2024,benchmark,Consumer hearing-aid price guides (research/04 CP-DVH-007); no primary source located,,low-medium,"DOWNGRADED FOR ABSENCE OF A CITATION, NOT ON THE EVIDENCE: research/04's CP-DVH-007 grades this same $4,672 figure Medium-High. Two things are wrong with the row and neither is the number. The stated Hearing Industries Association attribution is not what research/04 records -- it credits consumer price guides -- and none of those guides is reachable, so no URL could be supplied without guessing one. Post-2022 OTC devices start near $199 and make the market bimodal."
CP-EMS-001,CP-EMS,Mean ground ambulance transport cost,2673,USD/transport,2024,benchmark,"CMS Medicare Ground Ambulance Data Collection System (GADCS), released December 2024",https://www.cms.gov/medicare/payment/fee-schedules/ambulance/medicare-ground-ambulance-data-collection-system,high,"GADCS is a mandatory federal cost survey and supersedes the 2012-2013 GAO estimates. Governmental agencies $3,127/transport, private for-profit $1,778. The URL is the GADCS programme page; the $2,673 mean is in its December 2024 data release, not on the landing page."
CP-EMS-002,CP-EMS,Median air ambulance (helicopter) cost,36400,USD/transport,2017,benchmark,GAO air ambulance report,https://www.gao.gov/products/gao-19-292,medium,"R14 resolved as superseded-in-context, not refreshed: no newer national median air-ambulance charge exists in this repo. The No Surprises Act changed the billing regime from 2022, and research/04's CP-EMS-005 carries the post-Act evidence (2024 IDR data, CRS R48738). Do not inflate this figure forward as though the regime were unchanged."
CP-EMS-003,CP-EMS,Population in an ambulance desert,2.6 percent overall / 8.9 percent rural,percent,2023,benchmark,Maine Rural Health Research Center,https://www.ruralhealthresearch.org/publications/1596,medium-high,More than 25 minutes from the nearest ambulance station. 0.3% of urban residents for comparison.
CP-PH-001,CP-PH,Government public health activity spending,160.2,USD billions,2023,calibration,CMS NHE,https://www.cms.gov/data-research/statistics-trends-and-reports/national-health-expenditure-data/nhe-fact-sheet,high,"3.3% of NHE. Not comparable with CMS's broader 2024 combined $590.5B category, which is a different definition and year."
CP-PH-002,CP-PH,CDC annual budget,9.7 to 11.6,USD billions,2024-2025,benchmark,CDC budget documents,https://www.cdc.gov/budget/,medium-high,"The span is the point: FY2024-FY2025, request versus enacted. These are budget requests and can differ from final appropriations."
CP-PH-003,CP-PH,Vaccination program return on investment,540 direct savings; 2700 societal savings,USD billions cumulative 1994-2023,1994-2023,benchmark,CDC MMWR,https://www.cdc.gov/mmwr/volumes/73/wr/mm7331a2.htm,high,Cumulative over 1994-2023 for the Vaccines for Children programme era. Secondary sources quote per-dollar ratios of both $5 and $11; the MMWR cumulative figures are the ones this row carries.
CP-IT-001,CP-IT,VA Electronic Health Record Modernization program cost,16000 to 50000,USD millions,2025,benchmark,"GAO-26-108812 and GAO-25-106874, via trade reporting",https://www.nextgov.com/modernization/2025/12/lawmakers-question-va-health-records-costs-and-batched-deployments/410188/,medium,"$13,840M spent to date; a cautionary cost-overrun precedent. The GAO reports themselves are named in research/05 without links and gao.gov refuses automated fetch, so the URL is trade reporting, not the report."
CP-IT-002,CP-IT,NHS National Programme for IT failed precedent,10000 to 12700,GBP millions,2013,benchmark,"UK Parliament Public Accounts Committee, 294 (2013)",https://publications.parliament.uk/pa/cm201314/cmselect/cmpubacc/294/294.pdf,high,"Budgeted at GBP 6,200M. The stated National Audit Office attribution is not what research/05 records; the linked document is the Public Accounts Committee report."
CP-IT-003,CP-IT,Average cost of a healthcare data breach,7.42,USD millions,2025,benchmark,IBM Cost of a Data Breach Report,https://www.ibm.com/think/insights/cost-of-a-data-breach-healthcare-industry,high,Healthcare has been the costliest breach sector for 14 consecutive years.
CP-GOV-001,CP-GOV,CMS Medicare administrative cost ratio (narrow),1.3,percent,2021,benchmark,CMS Program Management data,https://www.kff.org/medicare/what-to-know-about-medicare-spending-and-financing/,medium,"$10.8B of $1.1T+ in 2021. Fully-loaded alternatives run 2.8-6.4%; the most politically contested number in single-payer modelling, and both bases are documented in research/05."
CP-GOV-002,CP-GOV,CBO's own estimate of single-payer administrative cost,1.5 to 2.0,percent of spending,2020,benchmark,CBO,https://www.cbo.gov/publication/56811,high,CBO Working Paper 2020-08. Likely the most load-bearing governance-cost number in the simulation. The direct PDF at cbo.gov/system/files still returns HTTP 403 to automated fetch as of 2026-08-26; the publication page does not.
CP-GOV-003,CP-GOV,Taiwan National Health Insurance administrative cost ratio,1.07,percent,2014,benchmark,Taiwan NHI Administration,https://www.healthaffairs.org/doi/10.1377/hlthaff.2014.1332,medium,"A 2014 budgeted ratio for a 23M-population system with a pre-existing national ID. research/05 calls it a demonstrated lower bound of the possible, not a rate the U.S. can assume."
CP-RD-001,CP-RD,NIH annual budget,47.0,USD billions,2025,benchmark,NIH Office of Budget,https://officeofbudget.od.nih.gov/,high,FY2025 enacted. Subject to significant year-to-year political volatility. research/05 cites trade reporting for this figure; the NIH Office of Budget is the primary publisher and is cited here instead.
CP-RD-002,CP-RD,US pharmaceutical industry R&D spending,83 to 105,USD billions/year,2019-2021,benchmark,"CBO, Research and Development in the Pharmaceutical Industry (2021); PhRMA member reporting",https://www.cbo.gov/publication/57126,medium,"The endpoints are not one measure: $83B is CBO's 2019 industry figure and $105B the top of the PhRMA-member range for 2021. PhRMA members are 75-85% of industry spending, so the two bases differ as well as the years."
CP-TRN-001,CP-TRN,ACA implementation steady-state subsidy administration cost,125 to 140,USD billions/year,2025,benchmark,CBO,https://www.cbo.gov/topics/health-care/affordable-care-act,medium,Comparable large-programme financing analogue.
CP-TRN-002,CP-TRN,Trade Adjustment Assistance retraining cost per worker,10000,USD/worker,2012,benchmark,"Mathematica evaluation for DOL, cited in research/05 only via aggregators; no primary link located",,low-medium,"DOWNGRADED FOR ABSENCE OF A CITATION, NOT ON THE EVIDENCE: research/05's CP-TRN-003 grades this figure MEDIUM and calls ~$10,000/participant the most defensible single point estimate for direct programme cost per worker. It reaches it only through Wikipedia and an advocacy site, and a hunt for the primary Mathematica evaluation failed -- dol.gov refuses automated fetch and the publication URL could not be located. Analogue for Health Administration Transition Corps retraining cost."
CP-TRN-003,CP-TRN,Medicare Part D implementation timeline,2.5,years legislation-to-launch,2006,benchmark,CMS historical record,https://www.congress.gov/crs-product/R40611,high,Legislation December 2003 to launch January 2006. Came in under budget; a positive counterweight to NPfIT.
